event_id,Campeonato,Time Casa,Time Visitante,Gols Casa,Gols Visitante,Status,Data e Hora,Time Referência,Num Gols,Cartões Amarelos,Cartões Vermelhos
13473350,Brasileirão Betano,Corinthians,Vasco da Gama,3.0,0.0,Ended,2025-04-05 21:30:00,Vasco da Gama,3,0,0
13640410,"CONMEBOL Sudamericana, Group G",Vasco da Gama,Academia Puerto Cabello,1.0,0.0,Ended,2025-04-09 00:30:00,Vasco da Gama,1,0,0
13473359,Brasileirão Betano,Vasco da Gama,Sport Recife,3.0,1.0,Ended,2025-04-13 00:00:00,Vasco da Gama,4,0,0
13473376,Brasileirão Betano,Ceará,Vasco da Gama,2.0,1.0,Ended,2025-04-16 00:30:00,Vasco da Gama,3,0,0
13473379,Brasileirão Betano,Vasco da Gama,Flamengo,0.0,0.0,Ended,2025-04-19 21:30:00,Vasco da Gama,0,0,0
13640421,"CONMEBOL Sudamericana, Group G",Vasco da Gama,Lanús,0.0,0.0,Ended,2025-04-23 00:30:00,Vasco da Gama,0,0,0
13473393,Brasileirão Betano,Cruzeiro,Vasco da Gama,1.0,0.0,Ended,2025-04-27 21:30:00,Vasco da Gama,1,0,0
13742586,Copa Betano do Brasil,Operário-PR,Vasco da Gama,1.0,1.0,Ended,2025-05-01 19:00:00,Vasco da Gama,2,0,0
13473399,Brasileirão Betano,Vasco da Gama,Palmeiras,0.0,1.0,Ended,2025-05-04 19:00:00,Vasco da Gama,1,0,0
13640443,"CONMEBOL Sudamericana, Group G",Academia Puerto Cabello,Vasco da Gama,4.0,1.0,Ended,2025-05-07 22:00:00,Vasco da Gama,5,0,0
13473415,Brasileirão Betano,Vitória,Vasco da Gama,2.0,1.0,Ended,2025-05-10 21:30:00,Vasco da Gama,3,0,0
13640455,"CONMEBOL Sudamericana, Group G",Lanús,Vasco da Gama,1.0,0.0,Ended,2025-05-14 00:30:00,Vasco da Gama,1,0,0
13473419,Brasileirão Betano,Vasco da Gama,Fortaleza,3.0,0.0,Ended,2025-05-17 21:30:00,Vasco da Gama,3,0,0
13742605,Copa Betano do Brasil,Vasco da Gama,Operário-PR,8.0,7.0,AP,2025-05-20 22:00:00,Vasco da Gama,2,0,0
13473428,Brasileirão Betano,Fluminense,Vasco da Gama,2.0,1.0,Ended,2025-05-24 21:30:00,Vasco da Gama,3,0,0
13640469,"CONMEBOL Sudamericana, Group G",Vasco da Gama,Melgar,3.0,0.0,Ended,2025-05-27 22:00:00,Vasco da Gama,3,0,0
13472680,Brasileirão Betano,Vasco da Gama,Red Bull Bragantino,0.0,2.0,Ended,2025-06-01 00:00:00,Vasco da Gama,2,0,0
13472729,Brasileirão Betano,São Paulo,Vasco da Gama,1.0,3.0,Ended,2025-06-13 00:30:00,Vasco da Gama,4,0,0
13241302,Mineiro Módulo I ,Villa Nova AC,Atlético Mineiro,0.0,1.0,Ended,2025-02-01 19:30:00,Atlético Mineiro,1,0,0
13317739,Mineiro Módulo I ,Atlético Mineiro,Athletic Club,1.0,0.0,Ended,2025-02-05 00:30:00,Atlético Mineiro,1,0,0
13241270,Mineiro Módulo I ,Cruzeiro,Atlético Mineiro,0.0,2.0,Ended,2025-02-09 19:00:00,Atlético Mineiro,2,0,0
13241273,Mineiro Módulo I ,Atlético Mineiro,Itabirito FC,3.0,0.0,Ended,2025-02-12 22:45:00,Atlético Mineiro,3,0,0
13473672,Mineiro Módulo I - Playoffs,Atlético Mineiro,Tombense,2.0,0.0,Ended,2025-02-15 19:30:00,Atlético Mineiro,2,0,0
13458042,Copa Betano do Brasil,Tocantinópolis,Atlético Mineiro,0.0,2.0,Ended,2025-02-18 21:00:00,Atlético Mineiro,2,0,0
13473674,Mineiro Módulo I - Playoffs,Tombense,Atlético Mineiro,0.0,2.0,Ended,2025-02-22 22:00:00,Atlético Mineiro,2,0,0
13540607,Copa Betano do Brasil,Atlético Mineiro,Manaus,4.0,1.0,Ended,2025-03-05 22:30:00,Atlético Mineiro,5,0,0
13521130,Mineiro Módulo I - Playoffs,Atlético Mineiro,América Mineiro,4.0,0.0,Ended,2025-03-08 19:30:00,Atlético Mineiro,4,0,0
13521133,Mineiro Módulo I - Playoffs,América Mineiro,Atlético Mineiro,1.0,0.0,Ended,2025-03-15 19:30:00,Atlético Mineiro,1,0,0
13473344,Brasileirão Betano,Grêmio,Atlético Mineiro,2.0,1.0,Ended,2025-03-29 21:30:00,Atlético Mineiro,3,0,0
13640389,"CONMEBOL Sudamericana, Group H",Cienciano,Atlético Mineiro,0.0,0.0,Ended,2025-04-02 00:30:00,Atlético Mineiro,0,0,0
13473353,Brasileirão Betano,Atlético Mineiro,São Paulo,0.0,0.0,Ended,2025-04-06 19:00:00,Atlético Mineiro,0,0,0
13640415,"CONMEBOL Sudamericana, Group H",Atlético Mineiro,Deportes Iquique,4.0,0.0,Ended,2025-04-11 00:30:00,Atlético Mineiro,4,0,0
13473363,Brasileirão Betano,Atlético Mineiro,Vitória,2.0,2.0,Ended,2025-04-13 23:30:00,Atlético Mineiro,4,0,0
13473371,Brasileirão Betano,Santos,Atlético Mineiro,2.0,0.0,Ended,2025-04-17 00:30:00,Atlético Mineiro,2,0,0
13473383,Brasileirão Betano,Atlético Mineiro,Botafogo,1.0,0.0,Ended,2025-04-20 19:00:00,Atlético Mineiro,1,0,0
13640427,"CONMEBOL Sudamericana, Group H",Caracas F.C.,Atlético Mineiro,1.0,1.0,Ended,2025-04-24 00:30:00,Atlético Mineiro,2,0,0
13473392,Brasileirão Betano,Mirassol,Atlético Mineiro,2.0,2.0,Ended,2025-04-26 21:30:00,Atlético Mineiro,4,0,0
13742593,Copa Betano do Brasil,Maringá FC,Atlético Mineiro,2.0,2.0,Ended,2025-04-29 22:30:00,Atlético Mineiro,4,0,0
13473407,Brasileirão Betano,Juventude,Atlético Mineiro,0.0,1.0,Ended,2025-05-05 23:00:00,Atlético Mineiro,1,0,0
13640447,"CONMEBOL Sudamericana, Group H",Deportes Iquique,Atlético Mineiro,3.0,2.0,Ended,2025-05-08 22:00:00,Atlético Mineiro,5,0,0
13473413,Brasileirão Betano,Atlético Mineiro,Fluminense,3.0,2.0,Ended,2025-05-11 20:30:00,Atlético Mineiro,5,0,0
13640465,"CONMEBOL Sudamericana, Group H",Atlético Mineiro,Caracas F.C.,3.0,1.0,Ended,2025-05-16 00:30:00,Atlético Mineiro,4,0,0
13473423,Brasileirão Betano,Cruzeiro,Atlético Mineiro,0.0,0.0,Ended,2025-05-18 23:30:00,Atlético Mineiro,0,0,0
13742608,Copa Betano do Brasil,Atlético Mineiro,Maringá FC,4.0,0.0,Ended,2025-05-22 00:30:00,Atlético Mineiro,4,0,0
13473434,Brasileirão Betano,Atlético Mineiro,Corinthians,0.0,0.0,Ended,2025-05-25 00:00:00,Atlético Mineiro,0,0,0
